Player,Team,Position,DRS,INF GB Runs,GB Chances,DP Runs (Start),DP Runs (Pivot),IFFB Runs,Bunt Runs,OF Flyball Runs,FB Chances,OF Arm Runs,Framing Runs Saved,Pitches Framed,Blocking Runs,Stolen Base Runs,Pickoff Runs,Throwing Runs,Hometown,Age,Height,Weight,Class,Jersey,newestTeamName,newestTeamAbbrevName,newestTeamLocation,newestTeamLevel
Ryder Helfrick,Arkansas|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,C,27.00,-0.42,10,-,-0.01,-,-0.80,-,0,-,24.49,1304,3.34,-0.55,0.96,0.41,"Discovery Bay, CA, US",21,"6' 1""",205,JR,27,University of Arkansas,ARK,Arkansas,BBC
Austin Fawley,Ole Miss|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ole-miss.svg,C,22.02,-0.13,4,-,-0.04,-,-0.42,-,0,-,15.37,1076,6.70,0.26,0.27,0.53,"West Palm Beach, FL, US",23,"6' 1""",205,JR,24,University of Mississippi,MISS,Ole Miss,BBC
Grayson Ashe,Jacksonville State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville-st.svg,C,19.67,0.15,3,-,-0.01,0.01,-0.32,-,0,-,11.28,1185,9.01,-0.90,0.45,-0.45,"Montgomery, AL, US",0,"6' 0""",188,R-JR,10,Jacksonville State University,JVST,Jacksonville State,BBC
Gavin Gallaher,North Carolina|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg,2B,19.37,16.97,178,0.90,1.42,0.08,-,-,0,-,-,,-,-,-,-,"Apex, NC, US",21,"6' 1""",191,JR,5,University of North Carolina,UNC,North Carolina,BBC
Coltin Quagliano,Duke|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg,3B,19.18,17.28,145,1.28,-0.03,-0.33,0.99,-,0,-,-,,-,-,-,-,"Kewanee, IL, US",23,"5' 10""",194,GRAD,3,Duke University,DUKE,Duke,BBC
Ian Armstrong,Saint Mary's (CA)|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-marys-ca.svg,C,18.10,0.09,1,0.00,-0.01,-,-0.37,-,0,-,10.65,977,8.00,-0.56,0.31,-0.25,"El Granada, CA, US",20,"6' 1""",180,SO,38,Saint Mary's College (CA),SMC,Saint Mary's,BBC
Burke-Lee Mabeus,Oregon|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg,C,17.52,-0.36,1,-,-,-,0.28,-,0,-,11.97,1156,4.20,0.73,0.70,1.43,"Henderson, NV, US",0,"6' 4""",215,SO,5,University of Oregon,ORE,Oregon,BBC
Kolby Branch,Georgia|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia.svg,SS,16.40,13.91,203,0.78,1.62,0.09,-,-,0,-,-,,-,-,-,-,"Lucas, TX, US",23,"5' 11""",190,SR,9,University of Georgia,UGA,Georgia,BBC
Ryan McKay,Michigan State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg,2B,16.22,14.27,163,0.71,1.15,0.08,-,-,0,-,-,,-,-,-,-,"Clinton Township, MI, US",0,"6' 0""",180,JR,1,Michigan State University,MSU,Michigan State,BBC
Trevian Martinez,UC San Diego|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg,C,16.15,-,0,-,-0.02,0.01,0.13,-,0,-,8.60,898,7.58,-0.15,0.00,-0.15,"Union City, CA, US",0,"6' 0""",195,SO,23,UC San Diego,UCSD,UC San Diego,BBC
Tyrus Hall,West Virginia|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia.svg,3B,16.11,14.39,125,0.38,-0.02,0.04,1.32,-,0,-,-,,-,-,-,-,"Victoria, British Columbia, Can",0,"6' 2""",210,JR,8,West Virginia University,WVU,West Virginia,BBC
Brayden Jefferis,Michigan|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg,3B,16.04,15.73,115,-0.01,-,0.07,0.25,-,0,-,-,,-,-,-,-,"Valencia, CA, US",20,"5' 10""",175,SO,2,University of Michigan,MICH,Michigan,BBC
Hutson Miles,Lipscomb|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lipscomb.svg,CF,16.03,-,0,-,-,-,-,13.19,157,2.84,-,,-,-,-,-,"Madison, TN, US",0,"5' 9""",165,JR,19,Lipscomb University,LIP,Lipscomb,BBC
Ryan Zuckerman,Georgia Tech|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-tech.svg,3B,15.99,14.26,122,0.61,-0.06,0.07,1.11,-,0,-,-,,-,-,-,-,"Yardley, PA, US",21,"6' 4""",215,JR,11,Georgia Tech,GT,Georgia Tech,BBC
Justin Lebron,Alabama|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg,SS,15.68,13.05,172,0.91,1.59,0.13,-,-,0,-,-,,-,-,-,-,"Miramar, FL, US",21,"6' 2""",180,JR,1,University of Alabama,ALA,Alabama,BBC
Jonathan Fitz,Xavier|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg,C,15.40,-0.03,3,-0.01,0.00,-,0.62,-,0,-,2.89,1036,9.43,1.12,1.39,2.51,"Edgewood, KY, US",21,"6' 0""",200,JR,18,Xavier University,XAV,Xavier,BBC
Roch Cholowsky,UCLA|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg,SS,15.29,13.20,171,1.05,0.92,0.11,-,-,0,-,-,,-,-,-,-,"Chandler, AZ, US",21,"6' 2""",200,JR,1,UCLA,UCLA,UCLA,BBC
Dylan Carey,Nebraska|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nebraska.svg,SS,15.25,13.44,156,0.96,0.77,0.08,-,-,0,-,-,,-,-,-,-,"Castle Rock, CO, US",22,"6' 3""",210,SR,15,University of Nebraska,NEB,Nebraska,BBC
Eric Guevara,Auburn|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg,3B,15.20,16.19,119,0.95,-0.05,-0.69,-1.20,-,0,-,-,,-,-,-,-,"Panama City, PAN",21,"5' 11""",200,JR,8,Auburn University,AUB,Auburn,BBC
Kyle Schupmann,Illinois|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg,3B,15.19,15.60,142,0.32,-,-0.30,-0.42,-,0,-,-,,-,-,-,-,"Geneva, IL, US",22,"6' 1""",200,R-JR,32,University of Illinois,ILL,Illinois,BBC
Deiten Lachance,Oklahoma|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg,C,15.15,-,0,-,0.00,-,-0.26,-,0,-,10.41,763,3.85,0.02,1.13,1.15,"Sherbrook, Quebec, CAN",0,"6' 4""",240,JR,48,University of Oklahoma,OKLA,Oklahoma,BBC
Ryan Tayman,Cal Poly|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg,C,15.05,-0.05,3,0.00,-0.01,-,-0.53,-,0,-,9.44,1431,4.52,-0.33,2.00,1.67,"Grover Beach, CA, US",20,"6' 3""",210,JR,16,Cal Poly,CP,Cal Poly,BBC
AJ Taylor,Lamar|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lamar.svg,SS,14.91,12.91,172,0.93,0.94,0.13,-,-,0,-,-,,-,-,-,-,,,,,,12,Lamar University,LAM,Lamar,BBC
Derek Curiel,LSU|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lsu.svg,CF,14.91,-,0,-,-,-,-,14.91,179,-,-,,-,-,-,-,"West Covina, CA, US",21,"6' 2""",182,SO,6,Louisiana State University,LSU,Louisiana State,BBC
Carson Tinney,Texas|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas.svg,C,14.54,0.24,4,-,-0.01,0.02,0.10,-,0,-,8.06,1079,5.94,0.18,0.00,0.18,"Castle Pines, CO, US",21,"6' 3""",220,JR,8,University of Texas,TEX,Texas,BBC
Wesley Helms,UAB|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uab.svg,1B,14.52,12.29,84,0.19,0.22,0.18,1.65,-,0,-,-,,-,-,-,-,"Birmingham, AL, US",23,"6' 1""",195,R-SR,10,UAB,UAB,UAB,BBC
Blaze Rodriguez,Louisiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-lafayette.svg,SS,14.34,12.22,182,1.38,0.68,0.06,-,-,0,-,-,,-,-,-,-,"Slidell, LA, US",0,"5' 10""",175,FR,29,University of Louisiana at Lafayette,ULL,Louisiana,BBC
Josh Pyne,Troy|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/troy.svg,3B,14.33,10.55,120,0.60,0.00,0.08,3.09,-,0,-,-,,-,-,-,-,"Bloomfield, IN, US",23,"6' 0""",195,R-SR,32,Troy University,TROY,Troy,BBC
Tanner Marsh,Liberty|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/liberty.svg,SS,14.31,12.60,163,0.62,0.96,0.14,-,-,0,-,-,,-,-,-,-,"Asheboro, NC, US",21,"5' 11""",170,JR,1,Liberty University,LIB,Liberty,BBC
Nolan Freund,Little Rock|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ualr.svg,3B,14.22,11.67,101,0.66,-,0.06,1.82,-,0,-,-,,-,-,-,-,"Kingman, KS, US",0,"6' 1""",200,JR,12,Little Rock,UALR,Little Rock,BBC
Steven Milam,LSU|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lsu.svg,SS,14.09,12.72,162,0.70,0.52,0.14,-,-,0,-,-,,-,-,-,-,"Las Cruces, NM, US",21,"5' 8""",177,JR,4,Louisiana State University,LSU,Louisiana State,BBC
Matt Ineich,West Virginia|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia.svg,SS,14.07,12.01,171,0.95,1.06,0.05,-,-,0,-,-,,-,-,-,-,"South Lyon, MI, US",20,"5' 11""",180,SO,17,West Virginia University,WVU,West Virginia,BBC
Augusto Mungarrieta,Kansas|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg,C,14.03,-,0,-,-0.01,-,0.18,-,0,-,3.13,1248,10.89,-0.61,0.46,-0.15,"Carabobo, VE",0,"6' 0""",200,JR,21,University of Kansas,KU,Kansas,BBC
Mateo Serna,Missouri|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri.svg,C,13.96,0.16,2,0.00,-,-,0.27,-,0,-,9.45,1010,4.83,-0.75,0.00,-0.75,"Doral, FL, US",21,"6' 0""",195,JR,8,University of Missouri,MIZZ,Missouri,BBC
Shintaro Inoue,Kansas State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg,2B,13.91,11.46,160,0.98,1.41,0.06,-,-,0,-,-,,-,-,-,-,"Yamaguchi, JP",23,"5' 8""",190,SR,5,Kansas State University,KSU,Kansas State,BBC
Jayden Lobliner,San Diego|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/san-diego.svg,C,13.90,0.03,1,-,-0.01,0.01,-0.31,-,0,-,1.40,1088,12.21,0.09,0.47,0.56,"St Charles, IL, US",22,"5' 10""",190,SR,37,University of San Diego,USD,San Diego,BBC
Kyle Branch,Oklahoma|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg,2B,13.80,11.31,127,1.22,1.50,-0.24,-,-,0,-,-,,-,-,-,-,"Lucas, TX, US",22,"5' 11""",182,SO,6,University of Oklahoma,OKLA,Oklahoma,BBC
Ben North,Creighton|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg,SS,13.77,12.36,157,0.59,0.73,0.09,-,-,0,-,-,,-,-,-,-,"Woodbury, MN, US",23,"6' 0""",200,GRAD,11,Creighton University,CREI,Creighton,BBC
Rudy Gonzalez,UTRGV|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utrgv.svg,C,13.66,0.05,2,-,0.09,-,0.33,-,0,-,8.00,616,5.04,0.02,0.14,0.16,"Edinburg, TX, US",22,"5' 7""",165,GRAD,0,University of Texas Rio Grande Valley,UTRGV,UT Rio Grande Valley,BBC
Owen Walewander,Lehigh|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lehigh.svg,C,13.57,0.07,2,-,-0.04,-,0.00,-,0,-,3.63,722,2.51,0.05,7.35,7.40,"Novato, CA, US",22,"6' 0""",215,SR,5,Lehigh University,LEH,Lehigh,BBC
Ryker Waite,Vanderbilt|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vanderbilt.svg,SS,13.38,10.69,138,1.14,1.37,0.17,-,-,0,-,-,,-,-,-,-,"Queen Creek, AZ, US",19,"5' 10""",176,SO,51,Vanderbilt University,VAN,Vanderbilt,BBC
JC Davis,Rice|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rice.svg,2B,13.33,10.72,118,0.66,1.83,0.12,-,-,0,-,-,,-,-,-,-,"Argyle, TX, US",0,"5' 10""",175,JR,3,Rice University,RICE,Rice,BBC
Jaxon Willits,Oklahoma|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg,SS,13.30,10.68,148,0.75,1.81,0.06,-,-,0,-,-,,-,-,-,-,"Fort Cobb, OK, US",21,"6' 0""",202,JR,7,University of Oklahoma,OKLA,Oklahoma,BBC
Nate Vargas,UC Santa Barbara|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-santa-barbara.svg,C,13.28,0.08,1,-,-0.02,-,0.91,-,0,-,8.67,935,3.45,0.19,0.00,0.19,"Rocklin, CA, US",0,"6' 3""",225,SR,12,UC Santa Barbara,UCSB,UC Santa Barbara,BBC
Brody Briggs,Arizona State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg,C,13.27,0.05,1,0.00,0.08,-,0.00,-,0,-,3.29,1032,8.37,0.12,1.36,1.48,"Tulsa, OK, US",21,"6' 1""",205,R-SO,9,Arizona State University,ASU,Arizona State,BBC
Kevin Jones,UNC Wilmington|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-wilmington.svg,SS,13.21,12.33,139,0.14,0.68,0.07,-,-,0,-,-,,-,-,-,-,"Rolesville, NC, US",22,"5' 11""",195,GRAD,10,UNC Wilmington,UNCW,UNC Wilmington,BBC
Sam Harry,Sacramento State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/sacramento-st.svg,CF,13.17,-,0,-,-,-,-,13.17,225,-,-,,-,-,-,-,"Castle Rock, CO, US",0,"6' 4""",210,FR,1,Sacramento State University,SAC,Sacramento State,BBC
Daniel Jackson,Georgia|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia.svg,C,13.00,0.18,3,-,0.00,-,1.34,-,0,-,4.27,1230,6.81,0.40,0.00,0.40,"Sandy Springs, GA, US",21,"6' 2""",203,JR,3,University of Georgia,UGA,Georgia,BBC
Bayram Hot,Louisville|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisville.svg,3B,12.98,12.15,134,0.78,-0.03,0.04,0.05,-,0,-,-,,-,-,-,-,"Queens, NY, US",22,"6' 2""",210,SR,27,University of Louisville,LOU,Louisville,BBC
James McGee,Kennesaw State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kennesaw-st.svg,C,12.96,-0.29,2,-0.02,0.11,0.01,-,-,0,-,5.88,749,7.52,0.55,-0.80,-0.25,"McDonough, GA, US",0,"6' 0""",210,SO,13,Kennesaw State University,KENN,Kennesaw State,BBC
Blake Barthol,Coastal Carolina|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/coastal-caro.svg,2B,12.95,10.37,165,0.77,1.72,0.09,-,-,0,-,-,,-,-,-,-,"Allentown, PA, US",22,"5' 9""",185,SR,7,Coastal Carolina University,CCAR,Coastal Carolina,BBC
Cole Green,Rice|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rice.svg,3B,12.92,10.64,93,0.65,-0.02,-0.33,1.99,-,0,-,-,,-,-,-,-,"Indian Trail, NC, US",21,"6' 0""",175,SO,2,Rice University,RICE,Rice,BBC
Kooper Schulte,Iowa|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg,SS,12.75,10.97,153,1.21,0.50,0.07,-,-,0,-,-,,-,-,-,-,"New London, IA, US",22,"6' 1""",200,SR,9,University of Iowa,IOWA,Iowa,BBC
Wills Maginnis,Georgia State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg,3B,12.71,12.37,121,0.62,-0.04,0.06,-0.29,-,0,-,-,,-,-,-,-,"Newnan, GA, US",0,"6' 3""",0,SO,10,Georgia State University,GAST,Georgia State,BBC
Brodie Johnston,Vanderbilt|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vanderbilt.svg,3B,12.66,9.74,85,0.64,-0.10,0.07,2.32,-,0,-,-,,-,-,-,-,"Ooltewah, TN, US",20,"6' 2""",203,SO,9,Vanderbilt University,VAN,Vanderbilt,BBC
Jimmy Janicki,Troy|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/troy.svg,C,12.57,0.19,2,0.00,0.09,0.02,-0.25,-,0,-,7.08,1224,4.04,-0.05,1.45,1.40,"Downers Grove, IL, US",0,"6' 4""",231,SO,5,Troy University,TROY,Troy,BBC
Connor Walker,McNeese|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mcneese.svg,C,12.57,0.13,2,0.00,-,0.01,0.31,-,0,-,4.17,646,3.97,0.86,3.12,3.98,"Moss Bluff, LA, US",0,"5' 10""",180,FR,5,McNeese State University,MCNS,McNeese State,BBC
Charlie Evans,Appalachian State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg,CF,12.51,-,0,-,-,-,-,12.51,175,-,-,,-,-,-,-,"Austin, TX, US",0,"5' 10""",190,R-FR,3,Appalachian State University,APP,Appalachian State,BBC
Jerdy Lopez,Little Rock|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ualr.svg,SS,12.47,11.38,205,0.85,0.49,-0.24,-,-,0,-,-,,-,-,-,-,"Santo Domingo, DO",0,"5' 9""",170,JR,1,Little Rock,UALR,Little Rock,BBC
Camden Kozeal,Arkansas|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg,SS,12.41,11.33,133,0.80,0.26,0.02,-,-,0,-,-,,-,-,-,-,"Omaha, NE, US",21,"5' 10""",200,JR,8,University of Arkansas,ARK,Arkansas,BBC
Brennan Holt,Alabama|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg,2B,12.38,10.17,147,0.50,1.61,0.10,-,-,0,-,-,,-,-,-,-,"Baton Rouge, LA, US",23,"5' 9""",165,GRAD,4,University of Alabama,ALA,Alabama,BBC
Andrew DiLodovico,Bowling Green|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg,C,12.38,0.18,2,0.00,-,-,0.73,-,0,-,7.92,704,4.31,-0.76,0.00,-0.76,"Grosse Pointe Farms, MI, US",0,"6' 1""",200,FR,25,Bowling Green State University,BGSU,Bowling Green,BBC
Kai Mault,UC Davis|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-davis.svg,CF,12.37,-,0,-,-,-,-,12.21,148,0.16,-,,-,-,-,-,"Santa Barbara, CA, US",0,"6' 0""",195,FR,29,UC Davis,UCD,UC Davis,BBC
Kyle McDaniel,Utah Tech|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-tech.svg,2B,12.36,10.55,148,0.56,1.17,0.08,-,-,0,-,-,,-,-,-,-,"Pahrump, NV, US",21,"5' 10""",180,JR,14,Utah Tech University,UTU,Utah Tech,BBC
Matt Chavez,California Baptist|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california-baptist.svg,C,12.34,0.03,1,-,-0.02,-,-0.01,-,0,-,3.79,814,8.57,0.39,-0.40,-0.01,,,,,,28,California Baptist University,CBU,California Baptist,BBC
Alex Perry,Southeastern Louisiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southeastern-la.svg,3B,12.31,9.74,103,0.39,-0.02,0.09,2.10,-,0,-,-,,-,-,-,-,"McComb, MS, US",0,"6' 4""",0,R-SR,4,Southeastern Louisiana University,SELA,Southeastern Louisiana,BBC
Parker Goff,BYU|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu.svg,C,12.28,0.13,1,0.00,-0.01,-,0.00,-,0,-,5.48,553,5.80,0.58,0.31,0.89,"Herriman, UT, US",22,"5' 11""",180,SR,10,Brigham Young University,BYU,BYU,BBC
Michael Petite,VCU|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vcu.svg,CF,12.25,-,0,-,-,-,-,11.48,205,0.76,-,,-,-,-,-,"Melbourne, FL, US",0,"6' 0""",190,JR,1,Virginia Commonwealth University,VCU,VCU,BBC
Brody Rasmussen,Maine|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maine.svg,CF,12.24,-,0,-,-,-,-,12.08,204,0.16,-,,-,-,-,-,"Boise, ID, US",22,"6' 1""",185,SR,9,University of Maine,ME,Maine,BBC
Drew Smith,Oregon|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/oregon.svg,3B,12.22,9.91,112,1.01,-,0.05,1.25,-,0,-,-,,-,-,-,-,"Auburn, ME, US",0,"6' 3""",231,R-FR,17,University of Oregon,ORE,Oregon,BBC
Tucker Stockman,Southern Miss|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-miss.svg,C,12.18,0.20,2,-,0.10,-,-0.47,-,0,-,5.15,945,5.95,0.52,0.72,1.24,"Athens, AL, US",22,"6' 4""",230,R-JR,36,The University of Southern Mississippi,USM,Southern Miss,BBC
Noah Miller,Michigan|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg,C,12.17,0.13,2,-,-0.01,-,0.26,-,0,-,6.58,939,5.05,0.46,-0.31,0.15,"Monroe, MI, US",21,"6' 0""",200,R-SO,4,University of Michigan,MICH,Michigan,BBC
Grant Gallagher,Kansas State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg,3B,12.16,11.64,145,0.76,-0.01,-0.32,0.08,-,0,-,-,,-,-,-,-,"Tallahassee, FL, US",22,"5' 10""",175,SR,6,Kansas State University,KSU,Kansas State,BBC
Brice Estep,Coastal Carolina|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/coastal-caro.svg,C,12.12,-,0,-,-,-,-0.11,-,0,-,6.99,824,4.71,0.80,-0.26,0.54,"Ft Mitchell, KY, US",22,"5' 9""",190,JR,24,Coastal Carolina University,CCAR,Coastal Carolina,BBC
Jackson Golden,Marshall|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marshall.svg,C,12.02,0.20,3,-,-0.04,-,0.08,-,0,-,8.38,940,4.00,-0.61,-,-0.61,"Apopka, FL, US",20,"6' 2""",200,SO,7,Marshall University,MRSH,Marshall,BBC
Michael Farina,Illinois|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg,2B,12.00,10.16,136,0.88,0.91,0.06,-,-,0,-,-,,-,-,-,-,"Mundelein, IL, US",0,"6' 1""",170,JR,3,University of Illinois,ILL,Illinois,BBC
Roman Martin,UCLA|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg,3B,11.95,10.37,91,0.63,-0.01,0.05,0.91,-,0,-,-,,-,-,-,-,"Whittier, CA, US",21,"6' 2""",200,JR,7,UCLA,UCLA,UCLA,BBC
Tyler Cowan,Washington|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington.svg,2B,11.88,10.12,129,0.53,1.17,0.07,-,-,0,-,-,,-,-,-,-,,,,,,1,University of Washington,WASH,Washington,BBC
Jake Bechtel,UNC Wilmington|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-wilmington.svg,CF,11.86,-,0,-,-,-,-,9.00,185,2.86,-,,-,-,-,-,"Palm Harbor, FL, US",21,"6' 5""",230,JR,22,UNC Wilmington,UNCW,UNC Wilmington,BBC
Freddy Rodriguez,Memphis|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/memphis.svg,3B,11.84,11.05,95,0.35,-0.02,0.06,0.40,-,0,-,-,,-,-,-,-,"Wellington, FL, US",21,"5' 10""",160,SR,10,University of Memphis,MEM,Memphis,BBC
J.C. Allen,UC San Diego|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg,3B,11.82,12.00,108,0.25,0.00,0.04,-0.47,-,0,-,-,,-,-,-,-,"Irvine, CA, US",22,"6' 4""",210,SR,25,UC San Diego,UCSD,UC San Diego,BBC
Owen McElfatrick,Northwestern|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/northwestern.svg,3B,11.82,9.43,96,0.38,-,0.05,1.96,-,0,-,-,,-,-,-,-,"Tampa, FL, US",22,"6' 0""",180,SR,8,Northwestern University,NW,Northwestern,BBC
Nolan Zajac,Western Michigan|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-mich.svg,C,11.79,-0.27,2,0.00,-0.02,-,0.27,-,0,-,5.89,1057,7.66,-1.06,-0.68,-1.74,"Carleton, MI, US",20,"6' 5""",200,SO,27,Western Michigan University,WMU,Western Michigan,BBC
Cooper Nicholson,North Carolina|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg,3B,11.77,10.26,143,0.92,-,0.12,0.47,-,0,-,-,,-,-,-,-,"West Des Moines, IA, US",0,"5' 11""",195,JR,1,University of North Carolina,UNC,North Carolina,BBC
Mike Stellrecht,Binghamton|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg,SS,11.77,8.92,134,1.44,1.35,0.07,-,-,0,-,-,,-,-,-,-,"East Amherst, NY, US",21,"5' 11""",180,SR,2,Binghamton University,BING,Binghamton,BBC
Josh Dykhoff,Kansas|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg,1B,11.71,11.89,93,0.09,-0.03,0.08,-0.32,-,0,-,-,,-,-,-,-,"Bluffton, MN, US",22,"6' 2""",220,SR,16,University of Kansas,KU,Kansas,BBC
Carter Bergman,Missouri State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri-st.svg,C,11.68,-0.12,3,-,-0.04,-,-0.05,-,0,-,6.82,888,3.68,0.20,1.19,1.39,"Kansas City, KS, US",0,"6' 2""",210,SR,26,Missouri State University,MOSU,Missouri State,BBC
Ayden Frey,St. John's|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-johns-ny.svg,2B,11.61,10.36,122,0.36,0.85,0.04,-,-,0,-,-,,-,-,-,-,"Camp Hill, PA, US",0,"5' 10""",180,JR,43,St. John's University (NY),SJU,St. John's,BBC
Lee Amedee,Louisiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-lafayette.svg,1B,11.54,8.57,47,0.38,0.44,0.14,2.02,-,0,-,-,,-,-,-,-,"Gonzales, LA, US",22,"6' 0""",205,SR,8,University of Louisiana at Lafayette,ULL,Louisiana,BBC
Cade Walter,Jacksonville|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville.svg,CF,11.43,-,0,-,-,-,-,11.43,121,-,-,,-,-,-,-,"St Cloud, FL, US",0,"5' 11""",190,R-FR,6,Jacksonville University,JAC,Jacksonville,BBC
J.R. Nelson,Illinois|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg,SS,11.43,9.46,130,0.76,1.16,0.06,-,-,0,-,-,,-,-,-,-,,,,,,31,University of Illinois,ILL,Illinois,BBC
Maverick Stallings,Old Dominion|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/old-dominion.svg,2B,11.42,9.84,129,0.62,0.81,0.14,-,-,0,-,-,,-,-,-,-,"Apopka, FL, US",23,"6' 0""",190,SR,6,Old Dominion University,ODU,Old Dominion,BBC
