Player,Team,Position,DRS,INF GB Runs,GB Chances,DP Runs (Start),DP Runs (Pivot),IFFB Runs,Bunt Runs,OF Flyball Runs,FB Chances,OF Arm Runs,Framing Runs Saved,Pitches Framed,Blocking Runs,Stolen Base Runs,Pickoff Runs,Throwing Runs,Hometown,Age,Height,Weight,Class,Jersey,newestTeamName,newestTeamAbbrevName,newestTeamLocation,newestTeamLevel
Emilio Feliciano,Coppin State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/coppin-st.svg,2B,0.09,0.11,1,0.00,-0.02,-,-,-,0,-,-,,-,-,-,-,"Auburn, WA, US",0,"5' 10""",175,JR,6,Coppin State University,COPP,Coppin State,BBC
Trinidad DeLaGarza,Arkansas-Pine Bluff|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-pine-bluff.svg,1B,0.09,0.12,1,-0.01,-0.02,-,-,-,0,-,-,,-,-,-,-,"Austin, TX, US",0,"5' 10""",175,SR,14,University of Arkansas-Pine Bluff,ARPB,Arkansas-Pine Bluff,BBC
Nathan Mueller,Texas A&M-Corpus Christi|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/am-corpus-chris.svg,P,0.09,0.06,1,-,-0.01,0.01,0.02,-,0,-,-,,-,-,-,-,"Fort Worth, TX, US",0,"6' 6""",215,JR,36,Texas A&M-Corpus Christi,AMCC,Texas A&M-Corpus Christi,BBC
Trevor Fenters,Indiana State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana-st.svg,P,0.08,0.08,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Valparaiso, IN, US",0,"6' 3""",215,FR,12,Indiana State University,INST,Indiana State,BBC
Patrick Hebda,Mount St. Mary's|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mt-st-marys.svg,1B,0.08,0.09,3,0.00,-0.02,0.01,-,-,0,-,-,,-,-,-,-,,,,,,42,Mount St. Mary's University,MSM,Mount St. Mary's,BBC
Lucas Dixon,Columbia|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/columbia.svg,P,0.08,0.08,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Pasadena, CA, US",0,"6' 2""",205,JR,38,Columbia University,CLMB,Columbia,BBC
Matt Thorsen,Siena|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/siena.svg,LF,0.08,-,0,-,-,-,-,0.08,8,-,-,,-,-,-,-,"Chatham, NY, US",0,"6' 3""",210,R-SO,9,Siena College,SIE,Siena,BBC
Joe Gomez,Longwood|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/longwood.svg,P,0.08,-,0,0.00,-,-,0.08,-,0,-,-,,-,-,-,-,"Rancho Cucamonga, CA, US",21,"5' 10""",180,SO,30,Longwood University,LONG,Longwood,BBC
Erik Puodziunas,Michigan|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg,P,0.08,0.08,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Sherman Oaks, CA, US",0,"6' 3""",206,R-FR,49,University of Michigan,MICH,Michigan,BBC
Hayden Tarsia,Binghamton|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg,P,0.08,0.06,1,-,-,-,0.02,-,0,-,-,,-,-,-,-,"Fishkill, NY, US",21,"6' 2""",185,JR,4,Binghamton University,BING,Binghamton,BBC
EJ Garcia,Incarnate Word|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/incarnate-word.svg,P,0.08,-0.02,2,-,0.00,-,0.10,-,0,-,-,,-,-,-,-,"New Braunfels, TX, US",22,"5' 10""",175,SR,9,University of the Incarnate Word,IW,Incarnate Word,BBC
Jace Kirby,Southern Illinois|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ill.svg,P,0.08,-,0,-,-,-,0.08,-,0,-,-,,-,-,-,-,"Spring Hill, TN, US",0,"6' 0""",180,JR,19,Southern Illinois University,SIU,Southern Illinois,BBC
Patrick McLellan,Southern Indiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ind.svg,2B,0.08,0.07,7,-0.05,0.06,-,-,-,0,-,-,,-,-,-,-,"San Diego, CA, US",23,"6' 0""",190,SR,4,University of Southern Indiana,SIND,Southern Indiana,BBC
Aidan Houseworth,Arkansas State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-st.svg,C,0.08,-,0,-,-,-,-,-,0,-,0.08,3,-,-,-,-,"St Louis, MO, US",0,"6' 3""",0,R-SO,20,Arkansas State University,ARST,Arkansas State,BBC
Tyler Acevedo,Iona|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iona.svg,2B,0.08,0.10,3,-,-0.02,-,-,-,0,-,-,,-,-,-,-,"Middletown, NY, US",0,"6' 0""",190,R-FR,4,Iona College,IONA,Iona,BBC
Joey Arend,Xavier|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg,LF,0.08,-,0,-,-,-,-,0.08,2,-,-,,-,-,-,-,"St Charles, IL, US",0,"6' 1""",165,FR,17,Xavier University,XAV,Xavier,BBC
Drew Oppenheim,George Washington|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-washington.svg,P,0.08,0.04,1,-0.02,-,-,0.06,-,0,-,-,,-,-,-,-,"Short Hills, NJ, US",21,"6' 0""",180,JR,31,George Washington University,GW,George Washington,BBC
Brady Hoar,Bucknell|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg,P,0.08,-,0,-,-,-,0.08,-,0,-,-,,-,-,-,-,"Tampa, FL, US",0,"6' 4""",190,FR,31,Bucknell University,BUCK,Bucknell,BBC
