Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,511679687,Lions,North Central Texas College,North Central Texas College,North Central Texas College,NCTC,BBC,,511679687,BBC,Lions,NCTC,North Central Texas College,NJCAA D1 Region 5
1,783840444,Rangers,Ranger College,Ranger College,Ranger College,RANG,BBC,,783840444,BBC,Rangers,RANG,Ranger College,NJCAA D1 Region 5
1,680516843,Wranglers,Odessa College,Odessa College,Odessa College,ODES,BBC,,680516843,BBC,Wranglers,ODES,Odessa College,NJCAA D1 Region 5
1,674005246,Rough Riders,Luna CC,Luna CC,Luna CC,LCC,BBC,,674005246,BBC,Rough Riders,LCC,Luna CC,NJCAA D1 Region 9
1,649200306,Thunderbirds,New Mexico JC,New Mexico JC,New Mexico JC,NMJC,BBC,,649200306,BBC,Thunderbirds,NMJC,New Mexico JC,NJCAA D1 Region 5
1,839774744,Broncos,New Mexico Military Institute,New Mexico Military Institute,New Mexico Military Institute,NMMI,BBC,,839774744,BBC,Broncos,NMMI,New Mexico Military Institute,NJCAA D1 Region 5
1,616979234,Eagles,Dyersburg State CC,Dyersburg State CC,Dyersburg State CC,DSCC,BBC,,616979234,BBC,Eagles,DSCC,Dyersburg State CC,NJCAA D1 Region 7
1,868799206,Indians,McCook CC,McCook CC,McCook CC,MCCC,BBC,,868799206,BBC,Indians,MCCC,McCook CC,NJCAA D1 Region 9
1,888116963,Bobcats,Southeast CC,Southeast CC,Southeast CC,SCC,BBC,,888116963,BBC,Bobcats,SCC,Southeast CC,NJCAA D1 Region 9
1,655701909,Cardinals,Mineral Area College,Mineral Area College,Mineral Area College,MAC,BBC,,655701909,BBC,Cardinals,MAC,Mineral Area College,NJCAA D1 Region 16
1,841142599,Spartans,Colorado Northwestern (JC),Colorado Northwestern (JC),Colorado Northwestern (JC),CNJC,BBC,,841142599,BBC,Spartans,CNJC,Colorado Northwestern (JC),NJCAA D1 Region 18
1,521420563,Spartans,Southwestern CC,Southwestern CC,Southwestern CC,SCC,BBC,,521420563,BBC,Spartans,SCC,Southwestern CC,NJCAA D1 Region 11
1,849906655,Runnin' Lopes,Lamar CC,Lamar CC,Lamar CC,LCC,BBC,,849906655,BBC,Runnin' Lopes,LCC,Lamar CC,NJCAA D1 Region 9
1,853424952,Plainsmen,Northeastern JC,Northeastern JC,Northeastern JC,NJC,BBC,,853424952,BBC,Plainsmen,NJC,Northeastern JC,NJCAA D1 Region 9
1,969210303,Rattlers,Otero JC,Otero JC,Otero JC,OJC,BBC,,969210303,BBC,Rattlers,OJC,Otero JC,NJCAA D1 Region 9
1,786618846,Roughriders,Crowder College,Crowder College,Crowder College,CROW,BBC,,786618846,BBC,Roughriders,CROW,Crowder College,NJCAA D1 Region 16
1,961268032,Cougars,St. Charles CC,St. Charles CC,St. Charles CC,SCCC,BBC,,961268032,BBC,Cougars,SCCC,St. Charles CC,NJCAA D1 Region 16
1,697797902,Warriors,Rend Lake College,Rend Lake College,Rend Lake College,RLC,BBC,,697797902,BBC,Warriors,RLC,Rend Lake College,NJCAA D1 Region 24
1,764419826,Scotties,Highland CC (KS),Highland CC (KS),Highland CC (KS),HCCK,BBC,,764419826,BBC,Scotties,HCCK,Highland CC (KS),NJCAA D1 Region 6
1,856030751,Reivers,Iowa Western CC,Iowa Western CC,Iowa Western CC,IWCC,BBC,,856030751,BBC,Reivers,IWCC,Iowa Western CC,NJCAA D1 Region 11
1,566453832,Raiders,Three Rivers (JC),Three Rivers (JC),Three Rivers (JC),TRJC,BBC,,566453832,BBC,Raiders,TRJC,Three Rivers (JC),NJCAA D1 Region 16
1,767540575,Dolphins,Delgado CC,Delgado CC,Delgado CC,DCC,BBC,,767540575,BBC,Dolphins,DCC,Delgado CC,NJCAA D1 Region 23
1,787132938,Trojans,Triton College,Triton College,Triton College,TRIT,BBC,,787132938,BBC,Trojans,TRIT,Triton College,NJCAA D1 Region 4
1,586723800,Bengals,Louisiana State Eunice,Louisiana State Eunice,Louisiana State Eunice,LSE,BBC,,586723800,BBC,Bengals,LSE,Louisiana State Eunice,NJCAA D1 Region 23
1,630470422,Vikings,Grayson County College,Grayson County College,Grayson County College,GCC,BBC,,630470422,BBC,Vikings,GCC,Grayson County College,NJCAA D1 Region 5
1,673137861,Warriors,Wabash Valley College,Wabash Valley College,Wabash Valley College,WVC,BBC,,673137861,BBC,Warriors,WVC,Wabash Valley College,NJCAA D1 Region 24
1,578172940,Hawks,Howard College,Howard College,Howard College,HOWA,BBC,,578172940,BBC,Hawks,HOWA,Howard College,NJCAA D1 Region 5
1,688155361,Coyotes,Weatherford College,Weatherford College,Weatherford College,WEAT,BBC,,688155361,BBC,Coyotes,WEAT,Weatherford College,NJCAA D1 Region 5
