Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,608977920,Benedictine Mesa (AZ),Benedictine Mesa (AZ),Benedictine Mesa (AZ),Benedictine Mesa (AZ),BM,BBC,,608977920,BBC,Benedictine Mesa (AZ),BM,Benedictine Mesa (AZ),NAIA Great Southwest Athletic Conference
1,552833024,University of British Columbia,University of British Columbia,University of British Columbia,University of British Columbia,UBC,BBC,,552833024,BBC,University of British Columbia,UBC,University of British Columbia,NAIA Cascade Collegiate
1,630446336,Northwestern,Northwestern,Northwestern College,Northwestern,NWC,BBC,,630446336,BBC,Northwestern,NWC,Northwestern,NAIA Great Plains
1,737267712,Cleary,Cleary,Cleary University,Cleary,CLE,BBC,,737267712,BBC,Cleary,CLE,Cleary,NAIA Wolverine-Hoosier Athletic
1,703078641,Wildcats,Louisiana Christian,Louisiana Christian,Louisiana Christian,LOUI,BBC,,703078641,BBC,Wildcats,LOUI,Louisiana Christian,NAIA Red River
1,606751256,Warriors,Rochester Christian,Rochester College,Rochester Christian,ROCH,BBC,,606751256,BBC,Warriors,ROCH,Rochester Christian,NAIA Wolverine-Hoosier Athletic
1,764545999,Maple Leafs,Goshen,Goshen,Goshen,GOSH,BBC,,764545999,BBC,Maple Leafs,GOSH,Goshen,NAIA Crossroads League
1,714554227,Eagles,Faulkner,Faulkner,Faulkner,FAUL,BBC,,714554227,BBC,Eagles,FAUL,Faulkner,NAIA Southern States
1,652589883,Bulldogs,Union Commonwealth,Union Commonwealth,Union Commonwealth,UNIO,BBC,,652589883,BBC,Bulldogs,UNIO,Union Commonwealth,NAIA Appalachian
1,631679286,Bulldogs,Jarvis Christian,Jarvis Christian,Jarvis Christian,JARV,BBC,,631679286,BBC,Bulldogs,JARV,Jarvis Christian,NAIA Red River
1,514982236,Rams,Huston Tillotson,Huston Tillotson,Huston Tillotson,HUST,BBC,,514982236,BBC,Rams,HUST,Huston Tillotson,NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,677091047,Vikings,Valley City State,Valley City State,Valley City State,VCS,BBC,,677091047,BBC,Vikings,VCS,Valley City State,NAIA Frontier
