Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,833825892,Border Cats,Thunder Bay,Thunder Bay,Thunder Bay,THUN,BBC,,833825892,BBC,Border Cats,THUN,Thunder Bay,SUM Northwoods League
1,507756015,Dock Spiders,Fond du Lac,Fond du Lac,Fond du Lac,FOND,BBC,,507756015,BBC,Dock Spiders,FOND,Fond du Lac,SUM Northwoods League
1,750766572,Woodchucks,Wausau,Wausau,Wausau,WAUS,BBC,,750766572,BBC,Woodchucks,WAUS,Wausau,SUM Northwoods League
1,631280907,Rafters,Wisconsin Rapids,Wisconsin Rapids,Wisconsin Rapids,WISC,BBC,,631280907,BBC,Rafters,WISC,Wisconsin Rapids,SUM Northwoods League
1,744941663,Yard Gnomes,Greenville,Greenville,Greenville,GREE,BBC,,744941663,BBC,Yard Gnomes,GREE,Greenville,SUM Coastal Plain League
1,684488457,Devil Dogz,Zebulon,Zebulon,Zebulon,ZEBU,BBC,,684488457,BBC,Devil Dogz,ZEBU,Zebulon,SUM Coastal Plain League
1,960263871,Flying Mummies,Richmond,Richmond,Richmond,RICH,BBC,,960263871,BBC,Flying Mummies,RICH,Richmond,SUM Northwoods League
1,764233036,Mud Puppies,Minnesota,Minnesota,Minnesota,MINN,BBC,,764233036,BBC,Mud Puppies,MINN,Minnesota,SUM Northwoods League
1,6095,Braves,Bourne,Bourne,Bourne,BOUR,BBC,,6095,BBC,Braves,BOUR,Bourne,CCBL Cape Cod League
1,6100,Mariners,Harwich,Harwich,Harwich,HARW,BBC,,6100,BBC,Mariners,HARW,Harwich,CCBL Cape Cod League
1,6102,Firebirds,Orleans,Orleans,Orleans,ORLE,BBC,,6102,BBC,Firebirds,ORLE,Orleans,CCBL Cape Cod League
1,6101,Harbor Hawks,Hyannis,Hyannis,Hyannis,HYAN,BBC,,6101,BBC,Harbor Hawks,HYAN,Hyannis,CCBL Cape Cod League
1,6103,Gatemen,Wareham,Wareham,Wareham,WARE,BBC,,6103,BBC,Gatemen,WARE,Wareham,CCBL Cape Cod League
1,6096,Whitecaps,Brewster,Brewster,Brewster,BREW,BBC,,6096,BBC,Whitecaps,BREW,Brewster,CCBL Cape Cod League
1,6098,Kettleers,Cotuit,Cotuit,Cotuit,COTU,BBC,,6098,BBC,Kettleers,COTU,Cotuit,CCBL Cape Cod League
1,6097,Anglers,Chatham,Chatham,Chatham,CHAT,BBC,,6097,BBC,Anglers,CHAT,Chatham,CCBL Cape Cod League
1,6099,Commodores,Falmouth,Falmouth,Falmouth,FALM,BBC,,6099,BBC,Commodores,FALM,Falmouth,CCBL Cape Cod League
1,6104,Red Sox,Yarmouth-Dennis,Yarmouth-Dennis,Yarmouth-Dennis,YARM,BBC,,6104,BBC,Red Sox,YARM,Yarmouth-Dennis,CCBL Cape Cod League
